"city","region","country_code","latitude","longitude","order_count","total_revenue","aov"
Hviezdoslavov,"",SK,48.0608921,17.3560385,21,635.65,30.27
Praha,"",CZ,50.0746561,14.4341958,54,2515.15,46.58
Banská Bystrica,"",SK,48.7276379,19.1768238,67,2859.74,42.68
Nitra,"",SK,48.3162273,18.0708367,123,4714.28,38.33
Púchov,"",SK,49.1206702,18.3228311,49,1800.46,36.74
Vráble,"",SK,48.2398821,18.3102274,29,946.95,32.65
Čadca,"",SK,49.4444733,18.7854559,30,1144.15,38.14
Košice,"",SK,48.6852774,21.291374,31,734.67,23.7
Bratislava,"",SK,48.1424901,17.123691,25,1229.02,49.16
Zlaté Moravce,"",SK,48.3789167,18.3860361,18,581.36,32.3
Vrútky,"",SK,49.1120006,18.9208508,18,568.15,31.56
Kolárovo,"",SK,47.9196,17.992149,24,1125.41,46.89
Praha,"",CZ,50.0177305,14.4841311,30,1359.3,45.31
Prešov,"",SK,48.9970246,21.2108123,153,5205.35,34.02
Michalovce,"",SK,48.7563153,21.9109486,66,2243.54,33.99
Stará Turá,"",SK,48.7848643,17.6772879,21,1085.94,51.71
Bratislava,"",SK,48.1872151,17.0275634,30,1106.55,36.88
Bratislava,"",SK,48.2199723,16.9818481,25,1458.75,58.35
Praha,"",CZ,50.0566531,14.5357728,24,1254.93,52.29
Bardejov,"",SK,49.2969777,21.2742369,57,2019.05,35.42
Praha,"",CZ,50.0725731,14.4945845,44,1504.71,34.2
Praha,"",CZ,50.1049253,14.3809551,44,1583.76,35.99
Praha,"",CZ,49.9987444,14.4178896,26,1320.53,50.79
Ružomberok,"",SK,49.0638739,19.2803037,62,2899.7,46.77
Žiar nad Hronom,"",SK,48.5886367,18.8654822,43,1443.96,33.58
Bratislava,"",SK,48.1722673,17.1732975,35,1847.51,52.79
Praha,"",CZ,50.1383976,14.5137791,29,1426.56,49.19
Praha,"",CZ,50.1107708,14.4732268,25,991.2,39.65
Praha,"",CZ,50.056876,14.4985459,29,1140.89,39.34
Nová Dubnica,"",SK,48.936633,18.1484626,26,780.71,30.03
Partizánske,"",SK,48.6298582,18.3774836,28,1148.31,41.01
Štúrovo,"",SK,47.7966334,18.7123192,24,936.59,39.02
Dubnica nad Váhom,"",SK,48.9599685,18.1747295,51,1889.36,37.05
Kežmarok,"",SK,49.1367632,20.424919,25,846.2,33.85
Humenné,"",SK,48.9345764,21.9047848,55,2570.66,46.74
Bratislava,"",SK,48.1405343,17.1430628,45,2045.63,45.46
Praha,"",CZ,50.1354434,14.4671478,34,1456.2,42.83
Dolný Kubín,"",SK,49.2144214,19.3040634,52,2139.02,41.14
900 26,"",SK,48.2487063,17.2708536,18,685.86,38.1
Bratislava,"",SK,48.1279298,17.2087406,47,2751.0,58.53
Bratislava,"",SK,48.1680756,17.1029893,30,1319.07,43.97
Bratislava,"",SK,48.1920976,17.0517962,23,968.09,42.09
Bratislava,"",SK,48.1525592,17.0459059,43,1441.63,33.53
Pécs,Baranya,HU,46.0833,18.2333,139,4429.17,31.86
Komló,Baranya,HU,46.1928,18.2649,22,759.86,34.54
Tiszaújváros,Borsod-Abaúj-Zemplén,HU,47.9333,21.0833,18,619.92,34.44
Miskolc,Borsod-Abaúj-Zemplén,HU,48.1,20.7833,149,4520.02,30.34
Ózd,Borsod-Abaúj-Zemplén,HU,48.2167,20.3,28,823.52,29.41
Budapest,Budapest,HU,47.4984,19.0404,2413,78554.5,32.55
Kiskunfélegyháza,Bács-Kiskun,HU,46.7121,19.8446,26,807.02,31.04
Kecskemét,Bács-Kiskun,HU,46.9062,19.6913,120,4012.05,33.43
Kiskunhalas,Bács-Kiskun,HU,46.434,19.4848,18,434.25,24.12
Baja,Bács-Kiskun,HU,46.183,18.9531,26,731.33,28.13
Békéscsaba,Békés,HU,46.6833,21.1,60,1867.17,31.12
Orosháza,Békés,HU,46.5667,20.6667,21,581.41,27.69
Gyula,Békés,HU,46.65,21.2833,20,598.29,29.91
Csongrád,Csongrád,HU,46.7133,20.1424,23,507.84,22.08
Makó,Csongrád,HU,46.2167,20.4833,23,707.84,30.78
Szentes,Csongrád,HU,46.6583,20.2608,21,641.47,30.55
Szeged,Csongrád,HU,46.253,20.1482,141,4845.12,34.36
Hódmezővásárhely,Csongrád,HU,46.4167,20.3333,32,757.08,23.66
Dunaújváros,Fejér,HU,46.9674,18.9329,41,1299.02,31.68
Székesfehérvár,Fejér,HU,47.1899,18.4103,125,3849.75,30.8
Sopron,Győr-Moson-Sopron,HU,47.685,16.5905,72,2699.04,37.49
Győr,Győr-Moson-Sopron,HU,47.6833,17.6351,161,5016.77,31.16
